,Name
906,Norman Osborn
907,Norrin Radd
908,Northstar
909,Nova
910,Nova (Frankie Raye)
911,Nova (Sam Alexander)
912,Nova (USM)
913,Nuke
914,Obadiah Stane
915,Odin
916,Ogun
917,Okoye
918,Old Lace
919,Omega Flight
920,Omega Red
921,Omega Sentinel
922,Omega the Unknown
923,Onslaught
924,Onslaught (Ultimate)
925,Oracle
926,Ord
927,Orphan
928,Orphan-Maker
929,Otto Octavius
930,Outlaw Kid
931,Overlord
932,Owl
933,Ozymandias
934,Paibok
935,Paladin
936,Pandemic
937,Paper Doll
938,Patch
939,Patriot
940,Payback
941,Penance (Robert Baldwin)
942,Pepper Potts
943,Pestilence
944,Pet Avengers
945,Pete Wisdom
946,Peter Parker
947,Peter Quill
948,Phalanx
949,Phantom Reporter
950,Phil Coulson (Phil Coulson)
951,Phil Sheldon
952,Photon
953,Phyla-Vell
954,Piledriver
955,Pip
956,Pixie
957,Plazm
958,Polaris
959,Post
960,Power Man (USM)
961,Power Pack
962,Praxagora
963,Preak
964,Pretty Boy
965,Pride
966,Prima
967,Prince of Orphans
968,Princess Powerful
969,Prism
970,Prodigy
971,Proemial Gods
972,Professor Monster
973,Professor X
974,Professor X (Ultimate)
975,Proteus
976,Proteus (House of M)
977,Proteus (Ultimate)
978,Proudstar
979,Prowler
980,Prowler (Rick Lawson)
981,Psycho-Man
982,Psylocke
983,PsyNapse
984,Puck
985,Puck (Zuzha Yu)
986,Puff Adder
987,pug
988,Puma
989,Punisher
990,Punisher (2099)
991,Punisher (Marvel: Avengers Alliance)
992,Puppet Master
993,Purifiers
994,Purple Man
995,Pyro
996,Quake (Daisy Johnson)
997,Quasar (Phyla-Vell)
998,Quasar (Wendell Vaughn)
999,Quasimodo
1000,Queen Noir
1001,Quentin Quire
1002,Quicksilver
1003,Quicksilver (Age of Apocalypse)
1004,Quicksilver (Ultimate)
1005,Rachel Grey
1006,Radioactive Man
1007,Rafael Vega
1008,Rage
1009,Raider
1010,Randall
1011,Randall Flagg
1012,Random
1013,Rattler
1014,Ravenous
1015,Rawhide Kid
1016,Raza
1017,Reaper
1018,Reavers
1019,Reavers (Ultimate)
1020,Red 9
1021,Red Ghost
1022,Red Ghost (Ultimate)
1023,Red Hulk
1024,Red Hulk (HAS)
1025,Red She-Hulk
1026,Red Shift
1027,Red Skull
1028,Red Skull (Albert Malik)
1029,Red Wolf
1030,Redwing
1031,Reptil
1032,Retro Girl
1033,Revanche
1034,Rhino
1035,Rhodey
1036,Richard Fisk
1037,Rick Jones
1038,Rick Jones (Ultimate)
1039,Ricochet
1040,Rictor
1041,Riptide
1042,Risque
1043,Robbie Robertson
1044,Robert Baldwin 
1045,Robin Chapel
1046,Rocket Raccoon
1047,Rocket Raccoon (Marvel Heroes)
1048,Rocket Racer
1049,Rockslide
1050,Rogue
1051,Rogue (Age of Apocalypse)
1052,Rogue (Deadpool)
1053,Rogue (Ultimate)
1054,Rogue (X-Men: Battle of the Atom)
1055,Roland Deschain
1056,Romulus
1057,Ronan
1058,Roughhouse
1059,Roulette
1060,Roxanne Simpson
1061,Rumiko Fujikawa
1062,Runaways
1063,Russian
1064,S.H.I.E.L.D.
1065,Sabra
1066,Sabretooth
1067,Sabretooth (Age of Apocalypse)
1068,Sabretooth (House of M)
1069,Sabretooth (Ultimate)
1070,Sage
1071,Salem's Seven (Ultimate)
1072,Sally Floyd
1073,Salo
1074,Sandman
1075,Santa Claus
1076,Saracen (Muzzafar Lambert)
1077,Sasquatch (Walter Langkowski)
1078,Satana
1079,Sauron
1080,Scalphunter
1081,Scarecrow (Ebenezer Laughton)
1082,Scarlet Spider (Ben Reilly)
1083,Scarlet Spider (Kaine)
1084,Scarlet Witch
1085,Scarlet Witch (Age of Apocalypse)
1086,Scarlet Witch (Marvel Heroes)
1087,Scarlet Witch (Ultimate)
1088,Scorpion (Carmilla Black)
1089,Scorpion (Ultimate)
1090,Scourge
1091,Scrambler
1092,Scream (Donna Diego)
1093,Screwball
1094,Sebastian Shaw
1095,Secret Warriors
