;YYYY-MM-DD;content;engagement;engagement/tweet
641;2012-12-31;3;1370;456,6666666666667
642;2013-01-01;4;2229;557,25
643;2013-01-02;21;7923;377,2857142857143
644;2013-01-03;55;57987;1054,3090909090909
645;2013-01-04;24;7541;314,2083333333333
646;2013-01-07;40;5049;126,225
647;2013-01-08;47;11473;244,10638297872342
648;2013-01-09;47;19946;424,3829787234043
649;2013-01-10;60;9502;158,36666666666667
650;2013-01-11;36;13440;373,3333333333333
651;2013-01-14;65;23187;356,7230769230769
652;2013-01-15;39;15744;403,6923076923077
653;2013-01-16;15;1542;102,8
654;2013-01-17;17;12101;711,8235294117648
655;2013-01-18;37;7429;200,78378378378378
656;2013-01-21;17;5755;338,52941176470586
657;2013-01-22;59;9921;168,15254237288136
658;2013-01-23;40;28118;702,95
659;2013-01-24;48;3762;78,375
660;2013-01-25;29;14250;491,37931034482756
661;2013-01-28;10;3865;386,5
662;2013-01-29;29;3908;134,75862068965517
663;2013-01-30;35;12964;370,4
664;2013-01-31;40;66688;1667,2
665;2013-02-01;23;7829;340,39130434782606
666;2013-02-03;2;3454;1727,0
667;2013-02-04;29;7083;244,24137931034483
668;2013-02-05;55;15811;287,4727272727273
669;2013-02-06;60;23576;392,93333333333334
670;2013-02-07;61;25547;418,8032786885246
671;2013-02-08;25;2471;98,84
672;2013-02-09;4;1309;327,25
673;2013-02-10;1;60;60,0
674;2013-02-11;11;3808;346,1818181818182
675;2013-02-12;50;20926;418,52
676;2013-02-13;65;26633;409,73846153846154
677;2013-02-14;61;17483;286,60655737704917
678;2013-02-15;39;33743;865,2051282051282
679;2013-02-16;3;199;66,33333333333333
680;2013-02-18;12;3304;275,3333333333333
681;2013-02-19;39;12202;312,87179487179486
682;2013-02-20;79;8008;101,36708860759494
683;2013-02-21;13;25901;1992,3846153846155
684;2013-02-22;30;4964;165,46666666666667
685;2013-02-23;3;779;259,6666666666667
686;2013-02-24;24;84661;3527,5416666666665
687;2013-02-25;58;10441;180,01724137931035
688;2013-02-26;43;5364;124,74418604651163
689;2013-02-27;94;14465;153,88297872340425
690;2013-02-28;42;6344;151,04761904761904
691;2013-03-01;36;24644;684,5555555555555
692;2013-03-02;36;1547;42,97222222222222
693;2013-03-03;31;7716;248,90322580645162
694;2013-03-04;19;2244;118,10526315789474
695;2013-03-05;19;3952;208,0
696;2013-03-06;23;131345;5710,652173913043
697;2013-03-07;24;1213;50,541666666666664
698;2013-03-08;19;3866;203,47368421052633
699;2013-03-09;1;439;439,0
700;2013-03-10;27;14364;532,0
701;2013-03-11;12;2568;214,0
702;2013-03-12;24;5187;216,125
703;2013-03-13;25;4337;173,48
704;2013-03-14;26;4952;190,46153846153845
705;2013-03-15;29;3046;105,03448275862068
706;2013-03-16;1;65;65,0
707;2013-03-17;42;1759;41,88095238095238
708;2013-03-18;57;6646;116,59649122807018
709;2013-03-19;66;40895;619,6212121212121
710;2013-03-20;46;5955;129,45652173913044
711;2013-03-21;15;21481;1432,0666666666666
712;2013-03-22;23;7150;310,8695652173913
713;2013-03-23;11;679;61,72727272727273
714;2013-03-24;30;1400;46,666666666666664
715;2013-03-25;27;4758;176,22222222222223
716;2013-03-26;26;8615;331,34615384615387
717;2013-03-27;39;3213;82,38461538461539
718;2013-03-28;78;4828;61,8974358974359
719;2013-03-29;11;4029;366,27272727272725
720;2013-03-30;17;3805;223,8235294117647
721;2013-03-31;31;3814;123,03225806451613
722;2013-04-01;39;11113;284,94871794871796
