,date,future,subgroup,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo
164,2017-03-18,False,Voters,44.47798,49.07936,39.8766,50.08054,54.69834,45.46274
165,2017-03-19,False,Adults,41.53395,46.20824,36.85967,52.66131,57.92685,47.39578
166,2017-03-19,False,All polls,42.48279,47.31588,37.6497,51.70201,56.81096,46.59307
167,2017-03-19,False,Voters,44.47798,49.07936,39.8766,50.08054,54.69834,45.46274
168,2017-03-20,False,Adults,41.57674,46.22869,36.9248,52.50675,57.73434,47.27915
169,2017-03-20,False,All polls,42.56183,47.41304,37.71062,51.57077,56.63733,46.5042
170,2017-03-20,False,Voters,44.52505,49.19572,39.85439,50.08957,54.74471,45.43443
171,2017-03-21,False,Adults,41.38521,45.94193,36.8285,52.85176,58.01113,47.6924
172,2017-03-21,False,All polls,42.41769,47.27553,37.55984,51.82015,56.87549,46.7648
173,2017-03-21,False,Voters,44.61454,49.35433,39.87475,50.02016,54.68645,45.35387
174,2017-03-22,False,Adults,41.60312,46.0286,37.17764,51.97084,57.16357,46.77811
175,2017-03-22,False,All polls,42.34076,47.29531,37.38622,51.67672,56.76546,46.58797
176,2017-03-22,False,Voters,44.10851,49.28387,38.93314,50.6463,55.57218,45.72042
177,2017-03-23,False,Adults,41.48011,45.96347,36.99674,52.1105,57.37497,46.84602
178,2017-03-23,False,All polls,42.28773,47.29216,37.28331,51.76073,56.88629,46.63516
179,2017-03-23,False,Voters,44.11869,49.32698,38.9104,50.66172,55.60133,45.72211
180,2017-03-24,False,Adults,41.54422,46.26891,36.81953,52.38712,58.03065,46.74358
181,2017-03-24,False,All polls,42.15625,47.20598,37.10653,52.08948,57.51303,46.66592
182,2017-03-24,False,Voters,44.35612,49.65315,39.05909,50.58176,55.89857,45.26495
183,2017-03-25,False,Adults,41.53386,46.28392,36.78381,52.38558,58.0583,46.71286
184,2017-03-25,False,All polls,42.14841,47.22449,37.07233,52.09206,57.54439,46.63973
185,2017-03-25,False,Voters,44.35612,49.65315,39.05909,50.58176,55.89857,45.26495
186,2017-03-26,False,Adults,41.43587,46.2299,36.64183,52.38198,58.08395,46.68002
187,2017-03-26,False,All polls,42.08798,47.20525,36.97071,52.08815,57.57109,46.60522
188,2017-03-26,False,Voters,44.35612,49.65315,39.05909,50.58176,55.89857,45.26495
189,2017-03-27,False,Adults,41.03792,46.03124,36.0446,52.65294,58.45473,46.85114
190,2017-03-27,False,All polls,41.81089,47.05198,36.56979,52.25573,57.78765,46.7238
191,2017-03-27,False,Voters,44.28436,49.65789,38.91082,50.60625,55.98377,45.22873
192,2017-03-28,False,Adults,40.6702,45.40951,35.93089,52.81675,58.3959,47.2376
193,2017-03-28,False,All polls,41.55795,46.62505,36.49085,52.38742,57.79079,46.98404
194,2017-03-28,False,Voters,43.37658,48.56889,38.18426,51.31355,56.60413,46.02298
195,2017-03-29,False,Adults,40.54865,45.12926,35.96804,52.65205,58.12233,47.18176
